rank,canonical_drug_id,drug_name,canonical_smiles,selected_config,ensemble_method,drug_level_score,mean_prediction_score,median_prediction_score,top_quantile_score,prediction_std_mean,prediction_std_median,confidence_grade,n_samples,target_mean
1,2438,ascorbate (vitamin C),C(C(C1C(=C(C(=O)O1)[O-])O)O)O,A,directive_weighted_average,8.505767169258746,8.505767169258746,8.648563061315455,9.057491030526544,1.07437628217707,1.0909728068994313,C,5,10.789006
2,2499,N-acetyl cysteine,CC(=O)N[C@@H](CS)C(O)=O,A,directive_weighted_average,7.848305785113417,7.848305785113417,7.848305785113417,7.952324900375494,0.925390743164848,0.925390743164848,C,2,10.090723
3,2439,glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,A,directive_weighted_average,7.438429365536784,7.438429365536784,7.492613009696948,7.695399909485876,0.5588602971180291,0.578390205901379,A,10,8.795823
4,2498,alpha-lipoic acid,OC(=O)CCCC[C@@H]1CCSS1,A,directive_weighted_average,6.37713898102255,6.37713898102255,6.1493825345745385,6.973962479815602,0.7166786589999349,0.719903418786497,B,9,7.7080383
5,1375,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,A,directive_weighted_average,6.201372027721784,6.201372027721784,6.263387323064868,6.54842590420223,0.6434652561902341,0.6579598504950712,B,8,7.1314883
6,1815,Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O,A,directive_weighted_average,5.651772244191403,5.651772244191403,5.723685940668164,6.097707341694012,0.8831713173448481,0.8754474258236722,C,6,5.495117
7,1615,CZC24832,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F,A,directive_weighted_average,5.533146752587036,5.533146752587036,5.684946820978974,6.041340133435165,0.8068088094060905,0.8193399062486014,C,3,5.9593816
8,1847,BEN,C1=CC=C(C=C1)C(=N)N,A,directive_weighted_average,5.472948052631643,5.472948052631643,5.455805305377575,6.215435495679212,1.1110429207462222,1.1181534561451394,C,7,5.7815022
9,1089,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,A,directive_weighted_average,5.356930068447554,5.356930068447554,5.517372322875556,5.583247567426742,0.49558669571012376,0.4814000705584139,A,5,5.5445123
10,1813,Fludarabine,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,A,directive_weighted_average,5.1769369815559525,5.1769369815559525,5.296129786324604,5.665445855834304,0.8098139917369808,0.8170349943920809,C,7,5.6326623
11,1073,5-Fluorouracil,FC1=CNC(=O)NC1=O,A,directive_weighted_average,5.1282340258609125,5.1282340258609125,5.315512198872,5.8070465811205025,0.9571691945130435,0.985255946924179,C,7,4.437776
12,1067,CCT007093,C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3,A,directive_weighted_average,5.114200199289959,5.114200199289959,5.288718645610192,5.708721911129033,0.6194705082689262,0.6779975652697943,B,5,5.3965564
13,2157,A-366,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,A,directive_weighted_average,5.093175959102917,5.093175959102917,5.201011520153289,5.502654997297537,0.539933501325913,0.5089766149293292,A,5,5.0220475
14,2360,THR-101,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F,A,directive_weighted_average,5.0845299528849495,5.0845299528849495,5.42170424317432,5.560199452066568,0.6598779768918266,0.7872642018121593,B,5,5.1605053
15,2359,GSK2830371,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4,A,directive_weighted_average,5.076092165151049,5.076092165151049,5.052229974553281,5.822771554447898,0.6251236118075273,0.6088139752437568,B,5,6.3385754
16,1507,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,A,directive_weighted_average,5.074542883916546,5.074542883916546,5.207591106396581,5.39412168889899,0.5834673865697942,0.6039504627948171,A,4,5.299876
17,1025,SB216763,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,A,directive_weighted_average,5.016706829225624,5.016706829225624,4.992708712686933,5.677628211002815,0.5682151982176709,0.5687915139564315,A,8,5.870131
18,1814,Nelarabine,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,A,directive_weighted_average,4.939345971377194,4.939345971377194,4.935959388229174,5.733905525570576,0.5599246994984468,0.5610207874710748,A,8,6.3743606
19,1018,Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,A,directive_weighted_average,4.933962339287206,4.933962339287206,4.859332462725753,5.0925878656372525,0.7549460263798339,0.7349752093722781,C,5,4.761293
20,1931,MIRA-1,CCC(=O)OCN1C(=O)C=CC1=O,A,directive_weighted_average,4.92044094091649,4.92044094091649,4.8645746187551175,5.089171429209684,0.6572551645664318,0.7301902233718762,B,3,4.4960995
21,1131,PRIMA-1MET,COCC1(CO)N2CCC(CC2)C1=O,A,directive_weighted_average,4.896362151332794,4.896362151332794,5.01287861075795,5.36310384856057,0.5944338830249697,0.585109994369527,A,4,5.3017087
22,1512,Cyclophosphamide,O.O=P1(N(CCCl)CCCl)NCCCO1,A,directive_weighted_average,4.882440830674113,4.882440830674113,4.862916921981701,5.400671934738702,0.6013163613755235,0.5820662982599752,A,4,4.81861
23,1029,Motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,A,directive_weighted_average,4.878247006775327,4.878247006775327,4.9272044344131665,5.3467935374663345,0.7541400172974958,0.7648432147824837,C,6,5.6827507
24,1621,PCI-34051,COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,A,directive_weighted_average,4.860396613451996,4.860396613451996,4.9296500100259255,5.561934522661854,0.5853650176761725,0.6157163126964973,A,4,4.8946133
25,1449,AZD1208,NC1CCCN(c2c(/C=C3/SC(=O)NC3=O)cccc2-c2ccccc2)C1,A,directive_weighted_average,4.846864699827835,4.846864699827835,4.650230494607833,5.472991447701959,0.6304353507245384,0.6257279627086602,B,7,5.1372557
26,1020,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,A,directive_weighted_average,4.835814307744632,4.835814307744632,4.810618500663921,5.154156041154875,0.647878216368719,0.6414183365218876,B,6,5.2492347
27,1043,JNK Inhibitor VIII,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,A,directive_weighted_average,4.8151530115217875,4.8151530115217875,5.113935266184974,5.23241722146116,0.6038020198969525,0.6576995423384012,B,3,5.709498
28,1629,ML323,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,A,directive_weighted_average,4.8134682066130585,4.8134682066130585,4.891527488086367,5.290191672548396,0.558458134284715,0.5755714564896619,A,4,5.3557324
29,1580,GSK2801,CCCOC1=CC2=C(C=C(N2C=C1)C(=O)C)C3=CC=CC=C3S(=O)(=O)C,A,directive_weighted_average,4.789105849357247,4.789105849357247,4.798459853131458,5.169743179343699,0.6274298795138095,0.6045091030361026,B,6,4.9618783
30,1852,LY2109761,C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6,A,directive_weighted_average,4.744553885808339,4.744553885808339,4.72544009846291,4.9746298537123375,0.810567452466419,0.8267534993559464,C,7,4.98798
